Address,Latitude,Longitude,Annual_GHI,Annual_DNI,Annual_Tilt_Latitude,GHI_jan,GHI_feb,GHI_mar,GHI_apr,GHI_may,GHI_jun,GHI_jul,GHI_aug,GHI_sep,GHI_oct,GHI_nov,GHI_dec,nearest_substation_km,tilt_deg,solar_score
"0 County Road 26, Blair, NE 68008",41.508789,-96.1066,4.12,4.45,4.86,1.8,2.64,3.89,5.11,5.85,6.37,6.47,5.56,4.68,3.19,2.22,1.62,1.7982950306167798,3.922807134135185,56.97095104129052
"0 Duff Rd, Walker, LA 70785",30.513012,-90.883963,4.64,4.37,5.11,2.73,3.56,4.56,5.77,6.29,6.16,5.92,5.76,4.8,4.18,3.27,2.59,0.9572084856977376,1.1377342271786282,68.14012978933603
"0 Georgia Tavern Road, Howell, NJ 07731",40.197728,-74.217988,4.03,4.0,4.74,2.03,3.0,4.03,4.89,5.57,5.9,5.99,5.28,4.34,3.19,2.24,1.84,0.7334186962643908,6.631140036810655,57.43945012967598
"0 Patterson Road, Jackson, NJ 08527",40.15854,-74.393701,4.02,3.99,4.73,2.03,2.99,4.0,4.84,5.57,5.92,5.97,5.27,4.32,3.18,2.23,1.85,0.851005933319818,6.359309633957358,57.18025624833105
"0 Wolfe Rd, Caledonia, MS 39740",33.68808,-88.321845,4.52,4.4,5.07,2.49,3.27,4.38,5.44,6.15,6.45,6.19,5.87,4.87,3.87,2.91,2.27,2.308951155847757,1.808638850458604,64.84783130406458
"110 Thunder Rd, Rock River, WY 82058",41.889459,-105.630053,4.36,5.43,5.1,1.9,2.35,3.71,5.41,6.47,7.15,7.02,6.14,5.05,3.54,2.04,1.42,35.12282600413643,5.083780263220923,45.83908078237666
"1214 Erve Williams Rd, Moultrie, GA 31768",31.106615,-83.916814,4.78,4.65,5.33,2.95,3.78,4.87,5.99,6.64,6.23,6.2,5.7,4.8,4.14,3.3,2.68,6.366893769956262,2.034148435892846,68.87998669267965
"1887 Toler Creek Rd, Harold, KY 41635",37.504084,-82.625633,4.02,3.72,4.56,2.02,2.7,3.77,4.82,5.69,5.97,5.73,5.46,4.47,3.3,2.35,1.84,5.802270000003679,28.125505790415737,57.739021319896445
"19422 NW 282nd St, Okeechobee, FL 34972",27.503349,-81.025599,4.98,4.82,5.49,3.62,4.36,5.3,6.29,6.51,5.85,5.95,5.61,4.91,4.44,3.77,3.17,12.59321226227266,0.0,70.89201241182657
"1986 Carrs Creek Rd, Townsend, TN 37882",35.727023,-83.720349,4.3,4.09,4.88,2.32,3.03,4.11,5.08,5.93,6.24,5.96,5.72,4.68,3.66,2.67,2.1,5.679390151533267,24.00346486076684,63.018834901086564
"2 Big Root Rd, Big Bend, WV 26136",38.955721,-81.09783,3.93,3.69,4.48,1.89,2.69,3.68,4.81,5.49,6.01,5.71,5.37,4.44,3.16,2.14,1.67,2.7010387036958945,13.128464222252864,54.503044284375775
"2002 Willick Rd, Gaylord, MI 49735",45.05431,-84.535114,3.66,3.78,4.25,1.36,2.13,3.4,5.05,5.57,6.08,6.08,5.19,3.97,2.37,1.46,1.21,8.541643825329903,1.3100593481282146,42.45564133643947
"2120 Harrisonville Ave, Portsmouth, OH 45662",38.766831,-82.941984,4.03,3.87,4.6,1.91,2.79,3.79,4.87,5.61,6.13,5.89,5.58,4.56,3.28,2.18,1.72,1.865037294379517,14.06598469000731,56.875961242881644
"215 Garden West Rd LOT 24, Conroe, TX 77304",30.318331,-95.519072,4.56,4.25,4.99,2.73,3.31,4.23,5.39,6.03,6.25,6.25,5.86,4.97,4.06,3.08,2.52,2.316012732684796,2.829589547524295,65.89990336904043
"22511 Resort Creek Road, Foxton, CO 80433",39.444303,-105.257255,4.62,6.21,5.66,2.63,3.62,4.71,5.79,6.29,6.59,6.16,5.3,4.97,3.99,2.94,2.43,10.49255427700311,11.4524128051534,67.87996511800544
"254 Tennent Road, Morganville, NJ 07751",40.361271,-74.275783,3.99,3.87,4.66,1.91,2.84,3.93,4.88,5.56,5.96,5.96,5.27,4.35,3.15,2.2,1.77,1.3983438620699191,6.31865008314211,55.80237133628299
"306 NW 12th Ave, Gainesville, FL 32601",29.663254,-82.327979,4.79,4.63,5.32,3.26,4.01,5.11,6.14,6.57,5.91,5.82,5.36,4.59,4.18,3.56,2.91,1.9460378042404447,5.625933426495119,72.38406732536698
"3250 310th St, Elmwood, NE 68349",40.847551,-96.279458,4.21,4.56,4.95,1.97,2.75,3.93,5.09,5.96,6.45,6.49,5.7,4.75,3.32,2.28,1.73,4.722622980957118,1.9490519902977643,57.2788650022829
"3406 SE 15th Ave, Gainesville, FL 32641",29.637687,-82.282103,4.82,4.7,5.36,3.26,3.98,5.15,6.23,6.62,5.95,5.9,5.44,4.67,4.18,3.55,2.92,3.768535654190072,9.537502708654358,72.75705173591295
"377 Sinclair Ln, Crossville, TN 38572",35.739811,-85.104778,4.19,4.0,4.63,2.26,2.9,4.01,5.07,5.72,6.15,5.66,5.6,4.63,3.58,2.6,2.04,11.282077980042542,7.138070425984597,54.827484502372734
"4304 Fm 352, Corrigan, TX 75939",31.014223,-94.757972,4.58,4.39,5.03,2.63,3.28,4.26,5.47,6.05,6.28,6.41,6.08,4.94,4.02,3.02,2.47,4.970683762658298,1.7484787832974549,64.66322801829281
"463 Deep Water Dr, Lincoln, NE 68527",40.817592,-96.57928,4.23,4.61,4.99,2.01,2.82,3.96,5.07,5.92,6.48,6.53,5.74,4.78,3.32,2.31,1.73,1.439362857942814,13.834905838389286,61.22803626778464
"4701 County Road F, Tekamah, NE 68061",41.758327,-96.122296,4.11,4.44,4.84,1.68,2.54,3.93,5.13,5.91,6.3,6.46,5.62,4.64,3.17,2.22,1.58,3.2806275848077764,1.163136249018034,55.41090190093188
"47A N Sturbridge Rd, Charlton, MA 01507",42.171701,-71.986479,3.83,3.8,4.55,1.93,2.73,3.84,4.8,5.3,5.56,5.82,5.17,4.21,2.9,1.96,1.65,0.4234552448302299,7.554979100253022,53.713358115429365
"6798 Little Sandy Rd, Elkview, WV 25071",38.41763,-81.508285,3.94,3.69,4.48,1.92,2.65,3.66,4.76,5.53,6.02,5.69,5.43,4.42,3.2,2.22,1.71,3.665194309204894,17.86326781484181,55.14574342517088
"7304 Shady Ln, Scurry, TX 75158",32.520004,-96.362214,4.69,4.85,5.24,2.74,3.44,4.2,5.55,5.96,6.54,6.81,6.26,5.11,3.95,3.04,2.59,1.0887038365095194,1.4784784470693857,68.53707546359395
"7361 Crystal Boulevard, El Dorado, CA 95623",38.595425,-120.860612,5.05,5.88,5.76,2.05,2.82,4.6,5.91,7.28,8.07,8.04,7.2,5.81,4.18,2.59,1.93,10.346107346884924,16.475181485840228,70.60086571524964
"7841 Highway 1690, Louisa, KY 41230",37.920303,-82.648041,4.02,3.79,4.57,1.99,2.69,3.72,4.85,5.64,6.08,5.79,5.49,4.49,3.29,2.36,1.76,8.06444993441579,15.572107550212046,54.52480469730221
"832 S 88th St, Lincoln, NE 68520",40.803718,-96.601028,4.25,4.64,5.04,2.06,2.97,3.98,5.07,5.92,6.45,6.52,5.73,4.78,3.33,2.28,1.79,0.6856608588279627,5.78794580527843,60.94493013563039
"853 County Road 50, Ozark, AL 36360",31.518072,-85.642945,4.69,4.58,5.25,2.88,3.74,4.82,5.82,6.49,6.25,6.01,5.59,4.77,4.05,3.27,2.59,1.4792577204268995,3.1188202164067893,69.65808885127156
"999 Rose Creek Cemetery Rd, Williamsburg, KY 40769",36.776742,-84.08721,4.12,3.86,4.67,2.13,2.82,3.88,4.96,5.76,6.09,5.74,5.61,4.59,3.43,2.48,1.91,3.841325636471474,16.436319213954402,58.727466204337695
"Bb, Olney Springs, CO 81062",38.480202,-104.001019,5.16,6.69,6.18,2.72,3.62,4.93,6.16,7.13,7.67,7.55,6.72,5.65,4.21,3.04,2.45,22.51486095991729,0.8026132511826003,68.90041183497073
"Big Draft Rd, White Sulphur Springs, WV 24986",37.855912,-80.277296,4.1,3.99,4.74,2.27,3.08,4.13,5.05,5.58,5.95,5.61,5.37,4.34,3.33,2.41,1.98,8.375778107761993,10.83097736359629,56.48145948783636
"County Road 107, Aspermont, TX 79502",33.0406,-100.188739,5.15,5.91,5.87,3.16,3.85,4.95,6.32,6.65,7.14,7.17,6.43,5.54,4.25,3.38,2.92,5.375810624652554,0.5544346067443519,75.82505963141706
"County Road 121, Walsenburg, CO 81089",37.750172,-104.634282,5.17,6.87,6.18,2.91,3.72,5.06,6.03,7.12,7.57,7.33,6.5,5.65,4.29,3.24,2.5,12.513518730914832,4.682506163912586,74.49577069691023
"County Road 131, Kenedy, TX 78119",28.723914,-97.706781,4.76,4.49,5.15,2.86,3.51,4.31,5.34,6.2,6.62,6.48,6.18,5.19,4.3,3.33,2.7,9.412711740264877,0.9457797157643024,65.98295730507687
"County Road 210, Pittsboro, MS 38951",33.954651,-89.374261,4.51,4.41,5.06,2.46,3.22,4.32,5.46,6.04,6.56,6.17,5.96,4.9,3.88,2.86,2.22,3.497516886113422,3.007990500210896,64.18564075848991
"County Road 409, Corinth, MS 38834",34.798191,-88.540283,4.44,4.34,5.0,2.34,3.15,4.25,5.38,6.05,6.49,6.15,5.85,4.83,3.76,2.76,2.16,1.551404440104824,1.5796398911420777,63.349137768628005
"Fm 281, Sunray, TX 79086",36.031368,-101.836683,5.18,6.31,6.05,2.94,3.73,4.94,6.38,7.05,7.46,7.44,6.45,5.54,4.19,3.26,2.63,7.5444163858678275,0.4773275527811537,75.32433760632266
"Fm 617, Weinert, TX 76388",33.330419,-99.678312,5.11,5.82,5.82,3.1,3.82,4.86,6.25,6.64,7.06,7.2,6.45,5.47,4.2,3.31,2.85,0.938675650270698,0.4906257980694418,76.78815159568592
"Memorial Rd, Lone Grove, OK 73443",34.184994,-97.3727,4.72,5.15,5.37,2.74,3.57,4.34,5.6,6.02,6.59,6.93,6.27,5.16,3.87,2.98,2.55,2.9046495703940165,1.5210666841519955,68.67660744899995
"Parker St, Hornsby, TN 38044",35.23768,-88.825613,4.37,4.26,4.92,2.26,3.01,4.08,5.29,5.97,6.53,6.13,5.88,4.78,3.68,2.67,2.08,1.990765330715496,1.9711508220521012,61.633874798945286
"SE 3rd Pl LOT 11, Gainesville, FL 32641",29.648883,-82.185543,4.81,4.67,5.34,3.26,4.02,5.09,6.16,6.6,5.91,5.87,5.43,4.63,4.15,3.55,2.95,5.678639128670694,4.9529405010086425,70.99497288610033
"State Highway 25 S, Electra, TX 76360",33.797039,-98.799745,4.95,5.57,5.65,2.97,3.68,4.7,5.97,6.42,6.87,7.08,6.38,5.34,4.03,3.21,2.72,10.332273756633928,0.7559881686972917,69.87938063482989
"Three Queens Mine Rd, Foresthill, CA 95631",39.010088,-120.80049,5.05,6.21,5.82,2.11,2.83,4.48,5.74,7.19,8.15,8.18,7.31,5.85,4.16,2.58,1.91,2.775669253073529,31.405571610141337,76.65059692431106
"Tuckahoe Rd, White Sulphur Springs, WV 24986",37.732613,-80.28217,4.07,3.97,4.72,2.29,3.05,4.14,4.93,5.51,5.88,5.61,5.32,4.36,3.33,2.4,2.0,4.182938002879659,10.93246337241497,57.990270668139274
"Woods Rd, Isle, MN 56342",46.100162,-93.388552,3.76,4.19,4.57,1.54,2.32,3.55,5.0,5.61,6.01,6.42,5.23,4.03,2.43,1.6,1.31,7.4824108048386275,1.48701282484969,46.598089173689296
"H,Â Captain Cook, HI 96704",19.497514,-155.940458,5.25,4.77,5.54,4.41,4.83,5.34,5.68,5.53,5.71,6.15,6.06,5.51,5.13,4.44,4.2,2.8645440300247147,8.504113928066632,82.59485540293227
"555 Hokiokio Pl, Lahaina, HI 96761",20.866856,-156.654587,6.08,6.81,6.43,4.51,5.38,6.0,6.86,7.23,7.32,7.29,7.18,6.56,5.61,4.73,4.27,2.0112530194529645,7.835962593788741,95.5301862377812
